Sentence,Sentiment,clean,stopped,lemma
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,circul revenu ha increas by in finland and in sweden in,circul revenu ha increas finland sweden,circul revenu ha increas finland sweden
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,sap q1 disappoint as softwar licens down real problem cloud growth trail msft orcl goog crm adb t co jndphllzq5,sap q1 disappoint softwar licens down real problem cloud growth trail msft orcl goog crm adb co jndphllzq5,sap q1 disappoint softwar licens down real problem cloud growth trail msft orcl goog crm adb company jndphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,the subdivis made sale revenu last year of in and oper profit of,subdivis made sale revenu last year oper profit,subdivis made sale revenu last year oper profit
Viking Line has canceled some services .,neutral,vike line ha cancel some servic,vike line ha cancel servic,vike line ha cancel servic
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,ahlstrom corpor stock exchang announc at a total of new share of ahlstrom corpor have been subscrib with option right under the compani s stock option program i and ii,ahlstrom corpor stock exchang announc total new share ahlstrom corpor subscrib option right compani stock option program ii,ahlstrom corpor stock exchang announc total new share ahlstrom corpor subscrib option right compani stock option program ii
$FB gone green on day,positive,fb gone green on day,fb gone green day,fb gone green day
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,msft sql server revenu grew doubl digit with sql server premium revenu grow over http stk co ir2f,msft sql server revenu grew doubl digit sql server premium revenu grow http stk co ir2f,msft sql server revenu grew doubl digit sql server premium revenu grow http stk company ir2f
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,accord to l nnen tehtaat s ceo matti karppinen the compani aim to deliv fish product to it custom a day earlier than it current doe,accord l nnen tehtaat ceo matti karppinen compani aim deliv fish product custom day earlier current doe,accord l nnen tehtaat ceo matti karppinen compani aim deliv fish product custom day earlier current doe
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,the compani s share is quot on nasdaq omx helsinki rautaruukki oyj rtrk,compani share quot nasdaq omx helsinki rautaruukki oyj rtrk,compani share quot nasdaq omx helsinki rautaruukki company rtrk
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,elcoteq se is list on the nasdaq omx helsinki ltd,elcoteq se list nasdaq omx helsinki ltd,elcoteq se list nasdaq omx helsinki company
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,two of these contract are for turntabl anod vibrocompactor that will be deliv to gansu hualu aluminum co ltd and anoth unnam costum,two contract turntabl anod vibrocompactor deliv gansu hualu aluminum co ltd anoth unnam costum,two contract turntabl anod vibrocompactor deliv gansu hualu aluminum company company anoth unnam costum
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,aviva friend life top forecast ahead of billion pound merger,aviva friend life top forecast ahead billion pound merger,aviva friend life top forecast ahead billion pound merger
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,in stead of be base on a soft drink as is usual the teho energi drink is made with fresh water,stead base soft drink usual teho energi drink made fresh water,stead base soft drink usual teho energi drink made fresh water
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,the compani plan to increas the unit s specialist staff to sever dozen depend on the market situat dure,compani plan increas unit specialist staff sever dozen depend market situat dure,compani plan increas unit specialist staff sever dozen depend market situat dure
The company closed last year with a turnover of about four million euros .,neutral,the compani close last year with a turnov of about four,compani close last year turnov four,compani close last year turnov four
Shire CEO steps up drive to get Baxalta board talking,positive,shire ceo step up drive to get baxalta board talk,shire ceo step up drive get baxalta board talk,shire ceo step up drive get baxalta board talk
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,costco a premier retail dividend play t co fa5cnh2t0t cost,costco premier retail dividend play co fa5cnh2t0t cost,costco premier retail dividend play company fa5cnh2t0t cost
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,the five storey eco effici build will have a gross floor area of about sq m it will also includ apart,five storey eco effici build gross floor area sq also includ apart,five storey eco effici build gross floor area sq also includ apart
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,the first instal of the cinema seri conclud with a profil of finnish inventor olavi linden whose person artist journey and work at fiskar ha led to dozen of design award,first instal cinema seri conclud profil finnish inventor olavi linden whose person artist journey work fiskar ha led dozen design award,first instal cinema seri conclud profil finnish inventor olavi linden whose person artist journey work fiskar ha led dozen design award
All are welcome .,neutral,all are welcom,welcom,welcom
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,stockmann and swedish sector compani ab lindex enter into an agreement on septemb wherebi stockmann or a wholli own subsidiari of it will make a public tender offer for all of lindex s issu share,stockmann swedish sector compani ab lindex enter agreement septemb wherebi stockmann wholli subsidiari make public tender offer lindex issu share,stockmann swedish sector compani ab lindex enter agreement septemb wherebi stockmann wholli subsidiari make public tender offer lindex issu share
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,huhtamaki oyj stock exchang releas at huhtamaki s capit market day for institut investor and analyst is held in espoo septemb start at pm finnish time,huhtamaki oyj stock exchang releas huhtamaki capit market day institut investor analyst held espoo septemb start pm finnish time,huhtamaki company stock exchang releas huhtamaki capit market day institut investor analyst held espoo septemb start pm finnish time
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,we are pleas to welcom tapek noma into cramo group,pleas welcom tapek noma cramo group,plea welcom tapek noma cramo group
- Profit before taxes was EUR 105.9 82.7 million .,neutral,profit befor tax wa,profit befor tax wa,profit befor tax wa
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,royal dutch she will to buy bg group for nearli billion,royal dutch buy bg group nearli billion,royal dutch buy bg group nearli billion
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,financialwir tm is not a press releas servic and receiv no compens for it news opinion or distribut,financialwir tm press releas servic receiv compens news opinion distribut,financialwir tm press releas servic receiv compens news opinion distribut
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,assa abloy kaupth bank gave a neutral recommend and a share price target of crown on swedish lock maker assa abloy ab,assa abloy kaupth bank gave neutral recommend share price target crown swedish lock maker assa abloy ab,assa abloy kaupth bank gave neutral recommend share price target crown swedish lock maker assa abloy ab
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,the item includ restructur cost of m while a year earlier they were m dilut ep stood at versu a loss per share of,item includ restructur cost year earlier dilut ep stood versu loss per share,item includ restructur cost year earlier dilut ep stood versu loss per share
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,in the bank post a net profit of lt mn,bank post net profit lt mn,bank post net profit lt million
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,aapl afternoon selloff as usual will be brutal get readi to lose a ton of money,aapl afternoon selloff usual brutal get readi lose ton money,aapl afternoon selloff usual brutal get readi lose ton money
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,tsla recal pretti much everi singl model x cnnbrk got to short that even at work you jump in money trade,tsla recal pretti much everi singl model x cnnbrk got short even work jump money trade,tsla recal pretti much everi singl model x cnnbrk got short even work jump money trade
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,dolc gabbana ha ask the union to declar marimekko corpor s unikko floral pattern trademark invalid in a continu disput between the two compani,dolc gabbana ha ask union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani,dolc gabbana ha ask union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani
InterContinental Hotels first-quarter global room revenue lags estimates,negative,intercontinent hotel first quarter global room revenu lag estim,intercontinent hotel first quarter global room revenu lag estim,intercontinent hotel first quarter global room revenu lag estim
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,accord to finnish pension insur compani varma varma wa the recipi of over two third of the revenu of the earn relat pension cover that wa under competit tender in finland,accord finnish pension insur compani varma varma wa recipi two third revenu earn relat pension cover wa competit tender finland,accord finnish pension insur compani varma varma wa recipi two third revenu earn relat pension cover wa competit tender finland
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,a portion will be record as part of it win in a prior patent disput with finnish phone maker nokia oyj,portion record part win prior patent disput finnish phone maker nokia oyj,portion record part win prior patent disput finnish phone maker nokia company
"L&G still paying price for dividend cut during crisis, chief says",negative,l g still pay price for dividend cut dure crisi chief say,l g still pay price dividend cut dure crisi chief say,l g still pay price dividend cut dure crisi chief say
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,the volum of invest in the two phase of the project is estim at 300mn mn,volum invest two phase project estim 300mn mn,volum invest two phase project estim 300mn million
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,russia account for of the lagarder magazin divis s revenu or mn mn in the usa for,russia account lagarder magazin divis revenu mn mn usa,russia account lagarder magazin divis revenu million million usa
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,the compani also estim the alreadi carri out invest to lead to an increas in it net sale for from when they reach,compani also estim alreadi carri invest lead increas net sale reach,compani also estim alreadi carri invest lead increas net sale reach
Profit of the accounting period was EUR 0.3 mn .,neutral,profit of the account period wa mn,profit account period wa mn,profit account period wa million
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,the six breweri record a percent growth in domest beer sale last year to liter from liter sold in,six breweri record percent growth domest beer sale last year liter liter sold,six breweri record percent growth domest beer sale last year liter liter sold
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,in august octob the compani s result befor tax total mn up from mn in the correspond period in,august octob compani result befor tax total mn up mn correspond period,august octob compani result befor tax total million up million correspond period
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,systeemitiimi s sale and project resourc will also be strengthen director paul skogberg said,systeemitiimi sale project resourc also strengthen director paul skogberg said,systeemitiimi sale project resourc also strengthen director paul skogberg said
Tesco share price jumps as Q3 sales top estimates,positive,tesco share price jump as q3 sale top estim,tesco share price jump q3 sale top estim,tesco share price jump q3 sale top estim
The fine print is here .,neutral,the fine print is here,fine print,fine print
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,the price for log ha clearli improv from and also the price of pulpwood ha gone up,price log ha clearli improv also price pulpwood ha gone up,price log ha clearli improv also price pulpwood ha gone up
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,thu sysopen digia ha in accord with chapter section of the finnish compani act obtain titl to all the share of sentera that are to be redeem,thu sysopen digia ha accord chapter section finnish compani act obtain titl share sentera redeem,thu sysopen digia ha accord chapter section finnish compani act obtain titl share sentera redeem
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,dilut earn per share ep fell to from,dilut earn per share ep fell,dilut earn per share ep fell
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,at p m eastern time a block of contract chang hand at a bid price of,p eastern time block contract chang hand bid price,p eastern time block contract chang hand bid price
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,some of the most recent technolog deliveri includ refineri technolog to anrak aluminium an iron ore pellet plant to tata steel and iron ore sinter plant to bhushan steel,recent technolog deliveri includ refineri technolog anrak aluminium iron ore pellet plant tata steel iron ore sinter plant bhushan steel,recent technolog deliveri includ refineri technolog anrak aluminium iron ore pellet plant tata steel iron ore sinter plant bhushan steel
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,vip similar pattern like begin of may did you sell same now will go up much higher after thi drop,vip similar pattern like begin may sell go up much higher thi drop,vip similar pattern like begin may sell go up much higher thi drop
The firm generated sales of 187 mln eur in 2005 .,neutral,the firm gener sale of mln in,firm gener sale mln,firm gener sale million
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,stora enso ha also had meet with the labor author employ and econom develop centr and repres of the govern in order to find solut,stora enso ha also meet labor author employ econom develop centr repres govern order find solut,stora enso ha also meet labor author employ econom develop centr repres govern order find solut
AstraZeneca profit down as sales of stalwarts fade,negative,astrazeneca profit down as sale of stalwart fade,astrazeneca profit down sale stalwart fade,astrazeneca profit down sale stalwart fade
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,rt andrewnyquist chartolog yahoo http stk co 1itr yhoo crazi look chart but near breakout resist line,rt andrewnyquist chartolog yahoo http stk co 1itr yhoo crazi look chart near breakout resist line,rt andrewnyquist chartolog yahoo http stk company 1itr yhoo crazi look chart near breakout resist line
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,most bullish stock on twitter dure thi dip yhoo gdx googl stz gold ew vz celg sbux scti more t co iuzjelfwt3,bullish stock twitter dure thi dip yhoo gdx googl stz gold ew vz celg sbux scti co iuzjelfwt3,bullish stock twitter dure thi dip yhoo gdx googl stz gold ew vz celg sbux scti company iuzjelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,finnish geosentr s net sale decreas to in januari march,finnish geosentr net sale decreas januari march,finnish geosentr net sale decreas januari march
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steer inc share repres of the share capit and vote right,cohen steer inc share repres share capit vote right,cohen steer inc share repres share capit vote right
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,more staff ha been recruit in japan to further complement it network of close to servic locat in more than countri worldwid,staff ha recruit japan complement network close servic locat countri worldwid,staff ha recruit japan complement network close servic locat countri worldwid
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,paper compani were in neg territori with stora enso r shed pct to upm kymmen down pct at and m real b pct lower at,paper compani neg territori stora enso r shed pct upm kymmen down pct real b pct lower,paper compani neg territori stora enso r shed percent upm kymmen down percent real b percent lower
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,kauko telko s central administr will be dissolv and appropri part of it will be transfer to oper activ and group administr by the end of the year,kauko telko central administr dissolv appropri part transfer oper activ group administr end year,kauko telko central administr dissolv appropri part transfer oper activ group administr end year
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,oper profit for the quarter april june amount to m on sale of bn,oper profit quarter april june amount sale bn,oper profit quarter april june amount sale bn
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,atria chose the delight to attract consum in the age group to it atria fresh rang of microwav meal,atria chose delight attract consum age group atria fresh rang microwav meal,atrium chose delight attract consum age group atrium fresh rang microwav meal
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,finnish it solut provid affecto oyj hel afe1v said today it slip to a net loss of in the second quarter of from a profit of in the correspond period a year earlier,finnish solut provid affecto oyj hel afe1v said today slip net loss second quarter profit correspond period year earlier,finnish solut provid affecto company helsinki afe1v said today slip net loss second quarter profit correspond period year earlier
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,us sanction put gazprom she will allianc plan in jeopardi,us sanction put gazprom allianc plan jeopardi,america sanction put gazprom allianc plan jeopardi
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,profit for the period wa mn down from mn in,profit period wa mn down mn,profit period wa million down million
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,profit for the period wa mn up from mn,profit period wa mn up mn,profit period wa million up million
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,oper profit fell to mn from mn in the second quarter of,oper profit fell mn mn second quarter,oper profit fell million million second quarter
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,howev sale return to growth in april june ceo pekka eloholma said,howev sale return growth april june ceo pekka eloholma said,howev sale return growth april june ceo pekka eloholma said
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,oper profit total mn or of net sale,oper profit total mn net sale,oper profit total million net sale
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,chang in the market situat and tougher price competit have substanti reduc demand for bread packag manufactur at the kauhava plant accord to the compani,chang market situat tougher price competit substanti reduc demand bread packag manufactur kauhava plant accord compani,chang market situat tougher price competit substanti reduc demand bread packag manufactur kauhava plant accord compani
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,in connect with the deal digia will employ person from nokia in oslo and in silicon valley in the usa,connect deal digia employ person nokia oslo silicon valley usa,connect deal digia employ person nokia oslo silicon valley usa
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,the brazilian unit of finnish secur solut provid f secur sign up new client last year onlin news sourc resel web quot the divis s commerci director vladimir brand o as say,brazilian unit finnish secur solut provid f secur sign up new client last year onlin news sourc resel web quot divis commerci director vladimir brand say,brazilian unit finnish secur solut provid f secur sign up new client last year onlin news sourc resel web quot divis commerci director vladimir brand say
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,the fair valu of the compani s invest properti went down to billion at the end of from billion a year earlier,fair valu compani invest properti went down billion end billion year earlier,fair valu compani invest properti went down billion end billion year earlier
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,dealer said the share wa larg hit by investor disappoint about a refin margin of just per barrel for the quarter and the perform of it ship unit which saw ebit drop to mln from mln a year amid a fall in volum and tanker rate,dealer said share wa larg hit investor disappoint refin margin per barrel quarter perform ship unit saw ebit drop mln mln year amid fall volum tanker rate,dealer said share wa larg hit investor disappoint refin margin per barrel quarter perform ship unit saw ebit drop million million year amid fall volum tanker rate
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,it is a testament to the qualiti of our lte solut and our commit to the japanes market he ad,testament qualiti lte solut commit japanes market ad,testament qualiti lte solut commit japanes market ad
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,the compani aim is to final the negoti and sign the contract at the start of octob,compani aim final negoti sign contract start octob,compani aim final negoti sign contract start octob
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,metso foundri jyvaskyla oy will discontinu product on thi line by septemb the compani said,metso foundri jyvaskyla oy discontinu product thi line septemb compani said,metso foundri jyvaskyla oy discontinu product thi line septemb compani said
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,a total six of the poll analyst rate m real two gave buy accumul three gave hold and onli one gave sell,total six poll analyst rate real two gave buy accumul three gave hold onli one gave sell,total six poll analyst rate real two gave buy accumul three gave hold onli one gave sell
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,in septemb the finnish group agre to buy danish compani rose poultri a s for up to m in a combin of cash and stock,septemb finnish group agre buy danish compani rose poultri up combin cash stock,septemb finnish group agre buy danish compani rose poultri up combin cash stock
$YANG Double bottom 5.2,positive,yang doubl bottom,yang doubl bottom,yang doubl bottom
Tesco share price down as grocer faces SFO investigation outcome,negative,tesco share price down as grocer face sfo investig outcom,tesco share price down grocer face sfo investig outcom,tesco share price down grocer face sfo investig outcom
$aapl news is becoming very bullish again http://stks.co/tMU,positive,aapl news is becom veri bullish again http stk co tmu,aapl news becom veri bullish http stk co tmu,aapl news becom veri bullish http stk company tmu
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,gs engin will instal the valv at a liquefi natur ga lng plant it ha built for uae lng extract and ga plant oper gasco in ruwai uae,gs engin instal valv liquefi natur ga lng plant ha built uae lng extract ga plant oper gasco ruwai uae,g engin instal valv liquefi natur ga lng plant ha built uae lng extract ga plant oper gasco ruwai uae
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,the percentag of share and vote right have been calcul in proport to the total number of share regist with the trade regist and the total number of vote right relat to them,percentag share vote right calcul proport total number share regist trade regist total number vote right relat,percentag share vote right calcul proport total number share regist trade regist total number vote right relat
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,m real said there are no ground for the rumor which have been circul in the market for some month,real said ground rumor circul market month,real said ground rumor circul market month
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,lember said the matter wa topic also in estonia where a bill ha been draft at the social affair ministri that would scrap old age pension on favor condit,lember said matter wa topic also estonia bill ha draft social affair ministri would scrap old age pension favor condit,lember said matter wa topic also estonia bill ha draft social affair ministri would scrap old age pension favor condit
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,moodi s said it gave p a1 long term senior unsecur and p p short term debt rate to finnish lender aktia bank s usd1 bn medium term note emtn program of march,moodi said gave p a1 long term senior unsecur p p short term debt rate finnish lender aktia bank usd1 bn medium term note emtn program march,moodi said gave p a1 long term senior unsecur p p short term debt rate finnish lender aktia bank usd1 bn medium term note emtn program march
$TSLA recall,negative,tsla recal,tsla recal,tsla recal
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,the liquid provid wa interrupt on may when aspocomp group oyj s share trade below cent aspocomp s stock exchang releas,liquid provid wa interrupt may aspocomp group oyj share trade cent aspocomp stock exchang releas,liquid provid wa interrupt may aspocomp group company share trade cent aspocomp stock exchang releas
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,hargreav lansdown buck weak market to see asset rise percent,hargreav lansdown buck weak market see asset rise percent,hargreav lansdown buck weak market see asset rise percent
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,at pm the omx helsinki index wa pct lower at,pm omx helsinki index wa pct lower,pm omx helsinki index wa percent lower
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,the decis mean temporari lay off of fix durat at the compani s nastola and jyvaskyla unit in southern and central finland respect,decis mean temporari lay fix durat compani nastola jyvaskyla unit southern central finland respect,decis mean temporari lay fix durat compani nastola jyvaskyla unit southern central finland respect
The value of the orders is over EUR 10mn .,neutral,the valu of the order is over 10mn,valu order 10mn,valu order 10mn
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,ms laakso will be respons for hkscan s hr function and for their develop in all of the group smarket area,ms laakso respons hkscan hr function develop group smarket area,m laakso respons hkscan hr function develop group smarket area
